Team,Scored,Conceded,Shots_made,Shots_Conceded,Shots_ontarget_made,Shots_ontarget_conceded,Corners_made,Corners_conceded,Fouls_commited,Fouls_suffered,Yellow_Cards,Opposing_Yellow_Cards,Wins,Draws,Losses,Goal_Difference,Shots_Per_Game,Corners_Per_Game,SoT_Per_Game,Goals_Per_Game,Goals_Conceded_Per_Game,Fouls_commited_Per_Game,Shots_Conceded_Per_Game,Yellow_Cards_Per_Game
Arsenal,61,22,454,242,153,72,181,103,316,335,40,56,21,7,3,39,14.64516129032258,5.838709677419355,4.935483870967742,1.967741935483871,0.7096774193548387,10.193548387096774,7.806451612903226,1.2903225806451613
Aston Villa,42,37,397,395,135,132,166,148,310,408,47,75,16,6,9,5,12.806451612903226,5.354838709677419,4.354838709677419,1.3548387096774193,1.1935483870967742,10.0,12.741935483870968,1.5161290322580645
Bournemouth,46,48,435,393,149,140,177,165,367,324,71,58,9,15,7,-2,14.03225806451613,5.709677419354839,4.806451612903226,1.4838709677419355,1.5483870967741935,11.838709677419354,12.67741935483871,2.2903225806451615
Brentford,46,42,320,390,122,122,148,157,329,294,58,55,13,7,11,4,10.32258064516129,4.774193548387097,3.935483870967742,1.4838709677419355,1.3548387096774193,10.612903225806452,12.580645161290322,1.8709677419354838
Brighton,41,37,398,378,138,122,147,150,374,318,79,64,11,10,10,4,12.838709677419354,4.741935483870968,4.451612903225806,1.3225806451612903,1.1935483870967742,12.064516129032258,12.193548387096774,2.5483870967741935
Burnley,33,61,287,520,92,175,111,188,310,279,51,36,4,8,19,-28,9.258064516129032,3.5806451612903225,2.967741935483871,1.064516129032258,1.967741935483871,10.0,16.774193548387096,1.6451612903225807
Chelsea,53,38,426,335,145,126,193,128,340,362,71,65,13,9,9,15,13.741935483870968,6.225806451612903,4.67741935483871,1.7096774193548387,1.2258064516129032,10.96774193548387,10.806451612903226,2.2903225806451615
Crystal Palace,33,35,350,345,109,127,129,145,321,285,62,55,10,9,11,-2,11.666666666666666,4.3,3.6333333333333333,1.1,1.1666666666666667,10.7,11.5,2.066666666666667
Everton,37,35,340,422,111,128,135,161,325,360,53,54,13,7,11,2,10.96774193548387,4.354838709677419,3.5806451612903225,1.1935483870967742,1.1290322580645162,10.483870967741936,13.612903225806452,1.7096774193548387
Fulham,43,44,380,361,114,120,147,176,338,291,65,56,13,5,13,-1,12.258064516129032,4.741935483870968,3.6774193548387095,1.3870967741935485,1.4193548387096775,10.903225806451612,11.64516129032258,2.096774193548387
Leeds,37,48,387,372,120,121,140,136,322,350,49,54,7,12,12,-11,12.483870967741936,4.516129032258065,3.870967741935484,1.1935483870967742,1.5483870967741935,10.387096774193548,12.0,1.5806451612903225
Liverpool,50,42,486,343,140,118,185,138,305,332,49,58,14,7,10,8,15.67741935483871,5.967741935483871,4.516129032258065,1.6129032258064515,1.3548387096774193,9.838709677419354,11.064516129032258,1.5806451612903225
Man City,60,28,443,293,157,103,173,111,298,339,56,61,18,7,5,32,14.766666666666667,5.766666666666667,5.233333333333333,2.0,0.9333333333333333,9.933333333333334,9.766666666666667,1.8666666666666667
Man United,56,43,492,341,178,113,142,152,317,339,46,65,15,10,6,13,15.870967741935484,4.580645161290323,5.741935483870968,1.8064516129032258,1.3870967741935485,10.225806451612904,11.0,1.4838709677419355
Newcastle,44,45,409,370,146,132,205,156,318,360,50,75,12,6,13,-1,13.193548387096774,6.612903225806452,4.709677419354839,1.4193548387096775,1.4516129032258065,10.258064516129032,11.935483870967742,1.6129032258064515
Nott'm Forest,31,43,392,392,123,127,167,152,327,360,48,54,8,8,15,-12,12.64516129032258,5.387096774193548,3.967741935483871,1.0,1.3870967741935485,10.548387096774194,12.64516129032258,1.5483870967741935
Sunderland,32,36,306,455,102,134,112,161,322,336,65,54,11,10,10,-4,9.870967741935484,3.6129032258064515,3.2903225806451615,1.032258064516129,1.1612903225806452,10.387096774193548,14.67741935483871,2.096774193548387
Tottenham,40,50,345,398,118,135,161,154,363,308,75,54,7,9,15,-10,11.129032258064516,5.193548387096774,3.806451612903226,1.2903225806451613,1.6129032258064515,11.709677419354838,12.838709677419354,2.4193548387096775
West Ham,36,57,314,473,104,167,156,204,341,332,52,58,7,8,16,-21,10.129032258064516,5.032258064516129,3.3548387096774195,1.1612903225806452,1.8387096774193548,11.0,15.258064516129032,1.6774193548387097
Wolves,24,54,286,429,101,143,100,190,409,340,67,47,3,8,20,-30,9.225806451612904,3.225806451612903,3.2580645161290325,0.7741935483870968,1.7419354838709677,13.193548387096774,13.838709677419354,2.161290322580645
